"_id","_index","_score","_type",aggType,appId,appName,beginDate,endDate,frequency,"source.errcode","source.errmsg","source.list","source.ref_date"
"OgOGSG4BeE64fHRseA-i","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","November 7th 2019, 08:00:00.000","November 7th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":21},{""key"":18,""value"":6},{""key"":13,""value"":211},{""key"":36,""value"":3},{""key"":10,""value"":28},{""key"":3,""value"":42},{""key"":2,""value"":13},{""key"":23,""value"":4},{""key"":1,""value"":6}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":9},{""key"":18,""value"":6},{""key"":13,""value"":205},{""key"":36,""value"":2},{""key"":10,""value"":27},{""key"":3,""value"":15},{""key"":2,""value"":8},{""key"":23,""value"":3},{""key"":1,""value"":5}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":15},{""key"":7,""value"":27},{""key"":6,""value"":20},{""key"":5,""value"":10},{""key"":4,""value"":44},{""key"":3,""value"":88},{""key"":2,""value"":104},{""key"":1,""value"":26}]},{""index"":""access_depth_info"",""item_list"":[{""key"":7,""value"":2},{""key"":6,""value"":43},{""key"":5,""value"":2},{""key"":4,""value"":5},{""key"":3,""value"":17},{""key"":2,""value"":82},{""key"":1,""value"":183}]}]",20191107
IJdgQ24B3eSeydakJ69V,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","November 6th 2019, 08:00:00.000","November 6th 2019, 08:00:00.000",DAILY,"-1","system error hint: [h1Fl6a04051487]",,
"VOE5Pm4BZTV-KAdyx_8z","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","November 5th 2019, 08:00:00.000","November 5th 2019, 08:00:00.000",DAILY,"-1","system error hint: [uvy5za00041504]",,
"YcMTOW4BIw_XuURManTJ","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","November 4th 2019, 08:00:00.000","November 4th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":5},{""key"":18,""value"":7},{""key"":13,""value"":233},{""key"":36,""value"":1},{""key"":10,""value"":27},{""key"":3,""value"":3},{""key"":2,""value"":3},{""key"":23,""value"":1},{""key"":1,""value"":2}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":5},{""key"":18,""value"":7},{""key"":13,""value"":226},{""key"":36,""value"":1},{""key"":10,""value"":27},{""key"":3,""value"":3},{""key"":2,""value"":2},{""key"":23,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":5},{""key"":7,""value"":8},{""key"":6,""value"":15},{""key"":5,""value"":12},{""key"":4,""value"":31},{""key"":3,""value"":74},{""key"":2,""value"":113},{""key"":1,""value"":24}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":18},{""key"":5,""value"":1},{""key"":4,""value"":3},{""key"":3,""value"":21},{""key"":2,""value"":70},{""key"":1,""value"":169}]}]",20191104
"CpXtM24BIw_XuURMEftP","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","November 3rd 2019, 08:00:00.000","November 3rd 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":3},{""key"":22,""value"":1},{""key"":18,""value"":16},{""key"":13,""value"":282},{""key"":36,""value"":1},{""key"":10,""value"":37},{""key"":3,""value"":18},{""key"":1,""value"":1},{""key"":29,""value"":3},{""key"":22,""value"":1},{""key"":18,""value"":16},{""key"":13,""value"":282},{""key"":36,""value"":1},{""key"":10,""value"":37},{""key"":3,""value"":18},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":3},{""key"":22,""value"":1},{""key"":18,""value"":14},{""key"":13,""value"":276},{""key"":36,""value"":1},{""key"":10,""value"":37},{""key"":3,""value"":4},{""key"":1,""value"":1},{""key"":29,""value"":3},{""key"":22,""value"":1},{""key"":18,""value"":14},{""key"":13,""value"":276},{""key"":36,""value"":1},{""key"":10,""value"":37},{""key"":3,""value"":4},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":5},{""key"":7,""value"":19},{""key"":6,""value"":21},{""key"":5,""value"":17},{""key"":4,""value"":39},{""key"":3,""value"":91},{""key"":2,""value"":123},{""key"":1,""value"":44},{""key"":8,""value"":5},{""key"":7,""value"":19},{""key"":6,""value"":21},{""key"":5,""value"":17},{""key"":4,""value"":39},{""key"":3,""value"":91},{""key"":2,""value"":123},{""key"":1,""value"":44}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":24},{""key"":5,""value"":4},{""key"":4,""value"":2},{""key"":3,""value"":18},{""key"":2,""value"":77},{""key"":1,""value"":234}]}]",20191103
XEHGLm4BuyEw7tbzrT9m,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","November 2nd 2019, 08:00:00.000","November 2nd 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":11},{""key"":18,""value"":20},{""key"":13,""value"":504},{""key"":10,""value"":59},{""key"":3,""value"":4},{""key"":23,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":8},{""key"":18,""value"":16},{""key"":13,""value"":476},{""key"":10,""value"":58},{""key"":3,""value"":3},{""key"":23,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":8},{""key"":7,""value"":11},{""key"":6,""value"":22},{""key"":5,""value"":24},{""key"":4,""value"":76},{""key"":3,""value"":152},{""key"":2,""value"":252},{""key"":1,""value"":57}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":29},{""key"":5,""value"":7},{""key"":4,""value"":1},{""key"":3,""value"":35},{""key"":2,""value"":132},{""key"":1,""value"":398}]}]",20191102
SBKgKW4BuyEw7tbzWaTH,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","November 1st 2019, 08:00:00.000","November 1st 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":11},{""key"":18,""value"":43},{""key"":13,""value"":345},{""key"":10,""value"":26},{""key"":3,""value"":19},{""key"":23,""value"":5},{""key"":1,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":8},{""key"":18,""value"":33},{""key"":13,""value"":331},{""key"":10,""value"":26},{""key"":3,""value"":12},{""key"":23,""value"":4},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":17},{""key"":7,""value"":18},{""key"":6,""value"":28},{""key"":5,""value"":25},{""key"":4,""value"":46},{""key"":3,""value"":119},{""key"":2,""value"":154},{""key"":1,""value"":45}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":38},{""key"":5,""value"":4},{""key"":4,""value"":11},{""key"":3,""value"":23},{""key"":2,""value"":111},{""key"":1,""value"":265}]}]",20191101
"Nxp5JG4Br6tb5kJt8x-t","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 31st 2019, 08:00:00.000","October 31st 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":22,""value"":2},{""key"":18,""value"":401},{""key"":17,""value"":1},{""key"":29,""value"":25},{""key"":16,""value"":21},{""key"":13,""value"":297},{""key"":36,""value"":1},{""key"":10,""value"":22},{""key"":3,""value"":57},{""key"":2,""value"":5},{""key"":23,""value"":27},{""key"":1,""value"":6}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":22,""value"":2},{""key"":18,""value"":358},{""key"":17,""value"":1},{""key"":29,""value"":13},{""key"":16,""value"":16},{""key"":13,""value"":288},{""key"":36,""value"":1},{""key"":10,""value"":22},{""key"":3,""value"":38},{""key"":2,""value"":5},{""key"":23,""value"":18},{""key"":1,""value"":6}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":59},{""key"":7,""value"":117},{""key"":6,""value"":94},{""key"":5,""value"":63},{""key"":4,""value"":126},{""key"":3,""value"":195},{""key"":2,""value"":159},{""key"":1,""value"":52}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":160},{""key"":5,""value"":20},{""key"":4,""value"":37},{""key"":3,""value"":128},{""key"":2,""value"":210},{""key"":1,""value"":310}]}]",20191031
"vdtTH24BIw_XuURMmjV6","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 30th 2019, 08:00:00.000","October 30th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":5},{""key"":18,""value"":4},{""key"":13,""value"":165},{""key"":10,""value"":25},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":23,""value"":3},{""key"":1,""value"":5}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":4},{""key"":18,""value"":1},{""key"":13,""value"":162},{""key"":10,""value"":23},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":23,""value"":3},{""key"":1,""value"":4}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":5},{""key"":7,""value"":11},{""key"":6,""value"":17},{""key"":5,""value"":9},{""key"":4,""value"":19},{""key"":3,""value"":63},{""key"":2,""value"":65},{""key"":1,""value"":20}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":31},{""key"":5,""value"":8},{""key"":4,""value"":2},{""key"":3,""value"":3},{""key"":2,""value"":75},{""key"":1,""value"":90}]}]",20191030
nqMtGm4Br6tb5kJtOjj9,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 29th 2019, 08:00:00.000","October 29th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":8},{""key"":13,""value"":146},{""key"":36,""value"":1},{""key"":10,""value"":25},{""key"":8,""value"":4},{""key"":3,""value"":8},{""key"":2,""value"":2},{""key"":23,""value"":2},{""key"":1,""value"":20}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":6},{""key"":13,""value"":141},{""key"":36,""value"":1},{""key"":10,""value"":23},{""key"":8,""value"":2},{""key"":3,""value"":7},{""key"":2,""value"":1},{""key"":23,""value"":2},{""key"":1,""value"":6}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":15},{""key"":7,""value"":9},{""key"":6,""value"":16},{""key"":5,""value"":9},{""key"":4,""value"":24},{""key"":3,""value"":57},{""key"":2,""value"":65},{""key"":1,""value"":21}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":29},{""key"":5,""value"":6},{""key"":4,""value"":3},{""key"":3,""value"":7},{""key"":2,""value"":68},{""key"":1,""value"":103}]}]",20191029
nFYGFW4BuyEw7tbz3mhu,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 28th 2019, 08:00:00.000","October 28th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":22,""value"":1},{""key"":18,""value"":10},{""key"":29,""value"":2},{""key"":16,""value"":2},{""key"":13,""value"":211},{""key"":36,""value"":2},{""key"":10,""value"":30},{""key"":2,""value"":2},{""key"":23,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":22,""value"":1},{""key"":18,""value"":3},{""key"":29,""value"":2},{""key"":16,""value"":1},{""key"":13,""value"":203},{""key"":36,""value"":2},{""key"":10,""value"":29},{""key"":2,""value"":2},{""key"":23,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":7},{""key"":7,""value"":13},{""key"":6,""value"":16},{""key"":5,""value"":15},{""key"":4,""value"":31},{""key"":3,""value"":78},{""key"":2,""value"":85},{""key"":1,""value"":19}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":43},{""key"":5,""value"":4},{""key"":4,""value"":1},{""key"":3,""value"":2},{""key"":2,""value"":79},{""key"":1,""value"":135}]}]",20191028
KijgD24BuyEw7tbzg3aT,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 27th 2019, 08:00:00.000","October 27th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":7},{""key"":13,""value"":209},{""key"":10,""value"":35},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":7},{""key"":13,""value"":205},{""key"":10,""value"":35},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":3},{""key"":7,""value"":8},{""key"":6,""value"":19},{""key"":5,""value"":17},{""key"":4,""value"":35},{""key"":3,""value"":65},{""key"":2,""value"":82},{""key"":1,""value"":23}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":26},{""key"":5,""value"":2},{""key"":4,""value"":3},{""key"":3,""value"":13},{""key"":2,""value"":74},{""key"":1,""value"":134}]}]",20191027
"qCS6Cm4BIw_XuURMJ2gS","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 26th 2019, 08:00:00.000","October 26th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":9},{""key"":13,""value"":267},{""key"":10,""value"":25},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":23,""value"":3},{""key"":1,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":9},{""key"":13,""value"":259},{""key"":10,""value"":24},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":23,""value"":3},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":5},{""key"":7,""value"":15},{""key"":6,""value"":18},{""key"":5,""value"":15},{""key"":4,""value"":50},{""key"":3,""value"":73},{""key"":2,""value"":106},{""key"":1,""value"":27}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":19},{""key"":5,""value"":5},{""key"":4,""value"":2},{""key"":3,""value"":25},{""key"":2,""value"":85},{""key"":1,""value"":173}]}]",20191026
"-vWTBW4BIw_XuURMy23i","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 25th 2019, 08:00:00.000","October 25th 2019, 08:00:00.000",DAILY,61503,"data not ready, please try later hint: [8tnG0a06021556]",,
InxtAG4Br6tb5kJtb62S,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 24th 2019, 08:00:00.000","October 24th 2019, 08:00:00.000",DAILY,61503,"data not ready, please try later hint: [MVseiA02021487]",,
"umxH-20BuyEw7tbzFTQS","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 23rd 2019, 08:00:00.000","October 23rd 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":13,""value"":136},{""key"":10,""value"":17},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":13,""value"":135},{""key"":10,""value"":17},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":1},{""key"":7,""value"":4},{""key"":6,""value"":7},{""key"":5,""value"":6},{""key"":4,""value"":17},{""key"":3,""value"":42},{""key"":2,""value"":62},{""key"":1,""value"":16}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":9},{""key"":5,""value"":2},{""key"":3,""value"":8},{""key"":2,""value"":47},{""key"":1,""value"":89}]}]",20191023
lwog9m0Br6tb5kJttuJd,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 22nd 2019, 08:00:00.000","October 22nd 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[]},{""index"":""access_source_visit_uv"",""item_list"":[]},{""index"":""access_staytime_info"",""item_list"":[]},{""index"":""access_depth_info"",""item_list"":[]}]",20191022
09v68G0Br6tb5kJtXNS2,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 21st 2019, 08:00:00.000","October 21st 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":4,""value"":2},{""key"":2,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":2,""value"":1},{""key"":1,""value"":2}]}]",20191021
McLU620Br6tb5kJtAGFh,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 20th 2019, 08:00:00.000","October 20th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[]},{""index"":""access_source_visit_uv"",""item_list"":[]},{""index"":""access_staytime_info"",""item_list"":[]},{""index"":""access_depth_info"",""item_list"":[]}]",20191020
"wq2t5m0Br6tb5kJto_Em","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 19th 2019, 08:00:00.000","October 19th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":2,""value"":1},{""key"":1,""value"":2}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":2,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":5,""value"":1},{""key"":4,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":1},{""key"":2,""value"":1},{""key"":1,""value"":1}]}]",20191019
egqH4W0BuyEw7tbzSKOb,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 18th 2019, 08:00:00.000","October 18th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":36,""value"":1},{""key"":29,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":36,""value"":1},{""key"":29,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":1},{""key"":6,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":2},{""key"":1,""value"":1}]}]",20191018
DAlg3G0BuyEw7tbz7UK7,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 17th 2019, 08:00:00.000","October 17th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":4,""value"":1},{""key"":2,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":3,""value"":1},{""key"":1,""value"":1}]}]",20191017
wQc6120BuyEw7tbzkdbv,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 16th 2019, 08:00:00.000","October 16th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":36,""value"":1},{""key"":23,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":36,""value"":1},{""key"":23,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":6,""value"":1},{""key"":4,""value"":1},{""key"":1,""value"":1}]},{""index"":""access_depth_info"",""item_list"":[{""key"":4,""value"":1},{""key"":2,""value"":2}]}]",20191016
3QYU0m0BuyEw7tbzNmxl,"wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 15th 2019, 08:00:00.000","October 15th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":4},{""key"":2,""value"":2},{""key"":1,""value"":6}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":2},{""key"":2,""value"":1},{""key"":1,""value"":3}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":2},{""key"":5,""value"":4},{""key"":4,""value"":1},{""key"":3,""value"":2},{""key"":2,""value"":3}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":2},{""key"":3,""value"":3},{""key"":2,""value"":5},{""key"":1,""value"":2}]}]",20191015
"FyztzG0BIw_XuURM28Qp","wechat_aggregate",,wx,VISITDISTRIBUTION,wxf2853b97771b5d0a,"miniapp-feili","October 14th 2019, 08:00:00.000","October 14th 2019, 08:00:00.000",DAILY,,,"[{""index"":""access_source_session_cnt"",""item_list"":[{""key"":29,""value"":1},{""key"":23,""value"":1},{""key"":18,""value"":2},{""key"":2,""value"":3}]},{""index"":""access_source_visit_uv"",""item_list"":[{""key"":29,""value"":1},{""key"":23,""value"":1},{""key"":18,""value"":2},{""key"":2,""value"":2}]},{""index"":""access_staytime_info"",""item_list"":[{""key"":8,""value"":1},{""key"":7,""value"":2},{""key"":5,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":2}]},{""index"":""access_depth_info"",""item_list"":[{""key"":6,""value"":2},{""key"":4,""value"":1},{""key"":3,""value"":1},{""key"":2,""value"":1},{""key"":1,""value"":2}]}]",20191014
